1.00,669.183
1.11,9207.807
1.25,10985.471
1.43,11845.631
1.67,12427.263
2.00,13058.047
2.22,13492.223
2.50,14065.663
2.86,14712.831
3.33,15237.119
4.00,15745.023
4.44,16089.087
5.00,16498.687
5.71,17104.895
6.67,18333.695
8.00,20578.303
8.89,21692.415
10.00,23035.903
11.43,24788.991
13.33,27525.119
16.00,29507.583
17.78,30867.455
20.00,32686.079
22.86,33947.647
26.67,36470.783
32.00,38764.543
35.56,39288.831
40.00,40402.943
45.71,42270.719
53.33,44728.319
64.00,47710.207
71.11,48824.319
80.00,49905.663
91.43,50757.631
106.67,51904.511
128.00,57671.679
142.22,61505.535
160.00,63766.527
182.86,65142.783
213.33,66322.431
256.00,67371.007
284.44,67502.079
320.00,67698.687
365.71,67960.831
426.67,68419.583
512.00,69009.407
568.89,69926.911
640.00,71434.239
731.43,73334.783
853.33,77332.479
1024.00,79560.703
1137.78,81854.463
1280.00,84082.687
1462.86,86638.591
1706.67,88473.599
2048.00,91226.111
2275.56,91881.471
2560.00,94830.591
2925.71,98041.855
3413.33,101122.047
4096.00,106758.143
4551.11,118882.303
5120.00,125829.119
5851.43,144048.127
6826.67,146276.351
8192.00,1021837.311
9102.22,1022361.599
10240.00,1028653.055
11702.86,1034944.511
13653.33,1035993.087
16384.00,1043857.407
18204.44,1049624.575
20480.00,1049624.575
23405.71,1051721.727
27306.67,1063256.063
32768.00,1063256.063
36408.89,1064304.639
40960.00,1064304.639
46811.43,1073217.535
54613.33,1073217.535
65536.00,1073217.535
72817.78,1073217.535
81920.00,1073217.535
93622.86,1073217.535
109226.67,1535115.263
