"session","benchmark","10%(us)","20%(us)","50%(us)","75%(us)","90%(us)","95%(us)","99%(us)","99.9%(us)","99.99%(us)","max(us)","operations","duration(ms)","throughput"
1kb,IAtomicReferenceTest-write,428.543,476.671,582.143,653.823,719.871,761.343,850.431,1003.007,6402.047,9846.783,8131249,116009,70091.53600151712
2kb,IAtomicReferenceTest-write,565.759,615.423,708.095,787.967,867.839,918.527,1025.535,1202.175,7847.935,9986.047,6590832,116008,56813.599062133646
4kb,IAtomicReferenceTest-write,732.671,774.143,856.063,932.351,1028.095,1142.783,1337.343,1526.783,8404.991,10444.799,5382447,116008,46397.20536514723
8kb,IAtomicReferenceTest-write,1034.239,1119.231,1285.119,1441.791,1628.159,1751.039,2123.775,2740.223,9428.991,1519386.623,3547869,116009,30582.70479014559
16kb,IAtomicReferenceTest-write,1623.039,1797.119,2083.839,2351.103,2840.575,3432.447,4816.895,6713.343,11960.319,17268.735,2145312,116008,18492.79360044135
32kb,IAtomicReferenceTest-write,3018.751,3274.751,3913.727,4349.951,5058.559,5869.567,8187.903,16105.471,32767.999,48562.175,1166133,116008,10052.177436038894
64kb,IAtomicReferenceTest-write,4964.351,5279.743,6127.615,6991.871,7770.111,9355.263,15376.383,34603.007,63700.991,74448.895,723395,116008,6235.733742500517
128kb,IAtomicReferenceTest-write,9207.807,10985.471,13058.047,15745.023,23035.903,32686.079,51904.511,79560.703,1028653.055,1535115.263,307261,116008,2648.619060754431
256kb,IAtomicReferenceTest-write,18104.319,21610.495,26345.471,31981.567,47906.815,63504.383,94371.839,139853.823,263454.719,283377.663,154204,116011,1329.2187809776658
